iter	Passed	Remaining
643	1078	595
644	1079	594
645	1081	592
646	1082	590
647	1084	589
648	1086	587
649	1087	585
650	1089	584
651	1091	582
652	1092	580
653	1094	578
654	1095	577
655	1097	575
656	1098	573
657	1100	571
658	1102	570
659	1104	568
660	1105	567
661	1107	565
662	1108	563
663	1110	561
664	1112	560
665	1113	558
666	1115	556
667	1116	555
668	1118	553
669	1120	551
670	1121	549
671	1123	548
672	1125	546
673	1126	544
674	1128	543
675	1129	541
676	1131	540
677	1133	538
678	1134	536
679	1136	534
680	1138	533
681	1140	531
682	1141	529
683	1142	528
684	1144	526
685	1146	524
686	1147	522
687	1149	521
688	1150	519
689	1152	517
690	1153	516
691	1155	514
692	1157	512
693	1158	511
694	1160	509
695	1161	507
696	1163	505
697	1164	503
698	1166	502
699	1167	500
700	1169	498
701	1171	497
702	1172	495
703	1174	493
704	1175	491
705	1177	490
706	1179	488
707	1180	486
708	1182	485
709	1184	483
710	1185	481
711	1187	480
712	1188	478
713	1190	477
714	1192	475
715	1194	473
716	1196	472
717	1197	470
718	1199	468
719	1201	467
720	1203	465
721	1205	464
722	1207	462
723	1209	460
724	1210	459
725	1212	457
726	1214	455
727	1216	454
728	1218	452
729	1219	451
730	1221	449
731	1223	447
732	1225	446
733	1227	444
734	1229	443
735	1231	441
736	1232	439
737	1234	438
738	1236	436
739	1238	435
740	1240	433
741	1241	431
742	1243	430
743	1245	428
744	1247	426
745	1249	425
746	1251	423
747	1252	421
748	1254	420
749	1256	418
750	1257	417
751	1259	415
752	1261	413
753	1263	412
754	1265	410
755	1267	408
756	1268	407
757	1270	405
758	1272	403
759	1274	402
760	1276	400
761	1278	399
762	1279	397
763	1281	395
764	1283	394
765	1285	392
766	1286	390
767	1288	389
768	1290	387
769	1292	386
770	1294	384
771	1297	383
772	1299	381
773	1300	379
774	1303	378
775	1305	376
776	1307	375
777	1309	373
778	1311	372
779	1313	370
780	1315	368
781	1317	367
782	1319	365
783	1321	364
784	1323	362
785	1325	360
